                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.6438,                 2.6167,                  1.141,                 0.6271,                0.59386,                0.65827,                0.45697,                 1.2762,                 3.4082,                0.74938,             5.9812e-05,             5.9812e-05,             5.9812e-05
                     96,                 1.6752,                 2.4869,                 1.2416,                0.92934,                0.13194,                0.14233,                0.10623,                 1.2736,                 3.2113,                0.74728,             5.9888e-05,             5.9888e-05,             5.9888e-05
                     97,                 1.4862,                 2.4084,                 1.1412,                0.86706,                0.32701,                0.34544,                0.22882,                 1.2736,                 3.2113,                0.74728,             5.9953e-05,             5.9953e-05,             5.9953e-05
                     98,                 1.4439,                 1.9412,                 1.1231,                0.67165,                0.56776,                0.59268,                 0.3974,                 1.2736,                 3.2113,                0.74728,             6.0006e-05,             6.0006e-05,             6.0006e-05
                     99,                 1.3924,                 2.4363,                 1.1754,                0.68847,                0.60943,                0.69351,                0.48572,                 1.2736,                 3.2113,                0.74728,             6.0048e-05,             6.0048e-05,             6.0048e-05
                    100,                 1.3954,                  2.099,                 1.1974,                0.92681,                0.13194,                0.14291,                0.10628,                 1.2665,                 3.0342,                0.74572,             6.0077e-05,             6.0077e-05,             6.0077e-05
                    101,                 1.5839,                 2.1327,                 1.1702,                0.87954,                0.32479,                0.35193,                0.23174,                 1.2665,                 3.0342,                0.74572,             6.0095e-05,             6.0095e-05,             6.0095e-05
                    102,                 1.5745,                 2.4584,                 1.1638,                0.75967,                0.56366,                0.59915,                0.39995,                 1.2665,                 3.0342,                0.74572,             5.9506e-05,             5.9506e-05,             5.9506e-05
                    103,                 1.1854,                 2.0105,                 1.1303,                0.77177,                0.60495,                0.69248,                 0.4842,                 1.2665,                 3.0342,                0.74572,             5.8917e-05,             5.8917e-05,             5.8917e-05
                    104,                 1.6301,                 2.3552,                 1.1643,                 0.9507,                0.12984,                0.15045,                0.10936,                  1.266,                 2.9045,                0.74483,             5.8328e-05,             5.8328e-05,             5.8328e-05
                    105,                 1.3384,                 1.6926,                 1.1767,                0.86347,                0.33028,                0.36253,                0.23848,                  1.266,                 2.9045,                0.74483,             5.7739e-05,             5.7739e-05,             5.7739e-05
                    106,                 1.2181,                 2.1917,                 1.0971,                 0.8378,                0.57567,                0.61039,                 0.4103,                  1.266,                 2.9045,                0.74483,              5.715e-05,              5.715e-05,              5.715e-05
                    107,                 1.3778,                 1.9303,                 1.1193,                0.80519,                0.61533,                0.71227,                0.49619,                  1.266,                 2.9045,                0.74483,             5.6561e-05,             5.6561e-05,             5.6561e-05
                    108,                 1.4053,                 1.9288,                 1.1908,                0.95066,                0.14211,                  0.162,                0.11546,                 1.2528,                  2.758,                0.74135,             5.5972e-05,             5.5972e-05,             5.5972e-05
                    109,                 1.3337,                 1.7051,                 1.1304,                 0.8625,                0.33493,                0.37354,                0.24421,                 1.2528,                  2.758,                0.74135,             5.5383e-05,             5.5383e-05,             5.5383e-05
                    110,                 1.2748,                 1.7775,                 1.0537,                0.83954,                0.58421,                0.61925,                0.41637,                 1.2528,                  2.758,                0.74135,             5.4794e-05,             5.4794e-05,             5.4794e-05
                    111,                 1.5814,                 1.9974,                 1.1106,                 0.8084,                0.61067,                0.71713,                0.50186,                 1.2528,                  2.758,                0.74135,             5.4204e-05,             5.4204e-05,             5.4204e-05
                    112,                  1.197,                 1.6673,                 1.1071,                0.99215,                0.14462,                0.17598,                0.12142,                 1.2369,                 2.6733,                0.73816,             5.3615e-05,             5.3615e-05,             5.3615e-05
                    113,                 1.4155,                 1.6307,                 1.2313,                0.90241,                0.33284,                0.38307,                0.24622,                 1.2369,                 2.6733,                0.73816,             5.3026e-05,             5.3026e-05,             5.3026e-05
                    114,                 1.4188,                 1.7585,                 1.0888,                0.83895,                0.58119,                 0.6269,                0.41683,                 1.2369,                 2.6733,                0.73816,             5.2437e-05,             5.2437e-05,             5.2437e-05
                    115,                 1.5986,                 2.0667,                 1.1247,                0.80507,                0.60267,                0.72517,                0.50282,                 1.2369,                 2.6733,                0.73816,             5.1848e-05,             5.1848e-05,             5.1848e-05
                    116,                 1.5857,                 2.1896,                 1.0763,                0.99074,                0.18592,                0.23238,                0.15939,                  1.221,                 2.5917,                0.73435,             5.1259e-05,             5.1259e-05,             5.1259e-05
                    117,                  1.337,                 1.8169,                 1.1095,                0.89795,                0.33498,                0.39166,                0.25419,                  1.221,                 2.5917,                0.73435,              5.067e-05,              5.067e-05,              5.067e-05
                    118,                 1.3791,                 2.0284,                 1.1214,                0.84235,                0.57983,                0.63393,                0.42235,                  1.221,                 2.5917,                0.73435,             5.0081e-05,             5.0081e-05,             5.0081e-05
                    119,                  1.293,                 2.0004,                 1.1637,                0.81601,                0.60207,                0.75446,                0.53183,                  1.221,                 2.5917,                0.73435,             4.9492e-05,             4.9492e-05,             4.9492e-05
                    120,                 1.3776,                  2.032,                 1.0822,                0.99726,                0.12462,                0.12437,                0.08758,                 1.2075,                 2.5115,                0.73144,             4.8903e-05,             4.8903e-05,             4.8903e-05
                    121,                 1.3504,                 1.8776,                 1.0939,                 0.9917,                0.18603,                0.23527,                0.15904,                 1.2075,                 2.5115,                0.73144,             4.8314e-05,             4.8314e-05,             4.8314e-05
                    122,                 1.1979,                  1.704,                  1.057,                0.85669,                0.50927,                0.57491,                0.39309,                 1.2075,                 2.5115,                0.73144,             4.7725e-05,             4.7725e-05,             4.7725e-05
                    123,                 1.2831,                 1.8302,                 1.1001,                0.82643,                0.60483,                0.76369,                 0.5407,                 1.2075,                 2.5115,                0.73144,             4.7136e-05,             4.7136e-05,             4.7136e-05
                    124,                 1.2297,                 1.7496,                 1.1069,                 0.9975,                0.12467,                0.12437,                0.08848,                 1.2006,                 2.4237,                0.72902,             4.6547e-05,             4.6547e-05,             4.6547e-05
                    125,                  1.378,                 1.5109,                 1.0785,                0.99285,                0.18554,                 0.2693,                0.18447,                 1.2006,                 2.4237,                0.72902,             4.5958e-05,             4.5958e-05,             4.5958e-05
                    126,                 1.2777,                 1.6654,                 1.1792,                 0.8571,                 0.5094,                0.58504,                0.40326,                 1.2006,                 2.4237,                0.72902,             4.5369e-05,             4.5369e-05,             4.5369e-05
